SECURITIES, ISIN  CODE,TRADING SYMBOL,TOTAL NUMBER OF ISSUED SHARES,,,,
 Nation Media Group Ltd ,KE0000000380,NMG,188542286,,,,
 Standard Group  Ltd ,KE0000000455,SGL," 	81,731,808 ",,,,
 TPS Eastern Africa  Ltd   ,KE0000000539,TPSE," 	182,174,108 ",,,,
 Uchumi Supermarket Ltd ,KE0000000489,UCHM," 	364,959,616 ",,,,
WPP Scangroup  Ltd ,KE0000000562,SCAN,378865102,,,,
,,,,,,,
CONSTRUCTION & ALLIED,,,,,,,
 ARM Cement Ltd ,KE0000000034,ARM," 	495,275,000 ",,,,
 Bamburi Cement Ltd ,KE0000000059,BAMB," 	362,959,275 ",,,,
 Crown Paints Kenya Ltd ,KE0000000141,BERG," 	71,181,000 ",,,,
 E.A.Cables Ltd ,KE0000000174,CABL," 	253,125,000 ",,,,
 E.A.Portland Cement Co. Ltd ,KE0000000190,PORT," 	90,000,000 ",,,,
,,,,,,,
ENERGY & PETROLEUM,,,,,,,
 KenGen Co. Ltd  ,KE0000000547,KEGN," 	6,243,873,779 ",,,,
 KenolKobil Ltd                    ,KE0000000323,KENO," 	1,471,761,200 ",,,,
 Kenya Power & Lighting  Co Ltd ,KE0000000349,KPLC," 	1,951,467,045 ",,,,
 Kenya Power & Lighting Ltd 4% Pref 20.00,KE4000001877,KPLC.P0004,"1,800,000",,,,
 Kenya Power & Lighting Ltd 7% Pref 20.00,KE4000002982,KPLC.P0007,"350,000",,,,
 Total Kenya Ltd ,KE0000000463,TOTL," 	175,028,706 ",,,,
 Umeme Ltd ,KE2000005815,UMME," 	1,623,878,005 ",,,,
,,,,,,,
INSURANCE,,,,,,,
 Britam Holdings Ltd,KE2000002192,BRIT," 	1,938,415,838 ",,,,
 CIC Insurance Group Ltd ,KE2000002317,CIC," 	2,615,538,528 ",,,,
 Jubilee Holdings Ltd ,KE0000000273,JUB," 	65,884,500 ",,,,
 Kenya Re Insurance Corporation Ltd ,KE0000000604,KNRE," 	699,949,068 ",,,,
 Liberty Kenya Holdings Ltd ,KE2000002168,CFCI," 	535,707,499 ",,,,
 Pan Africa Insurance Holdings Ltd ,KE0000000414,PAFR," 	144,000,000 ",,,,
,,,,,,,
INVESTMENT,,,,,,,
 Centum Investment Co Ltd  ,KE0000000265,ICDC," 	665,441,775 ",,,,
 Home Afrika Ltd,KE2000007258,HAFR," 	405,255,320 ",,,,
 Kurwitu Ventures Ltd,KE4000001216,KURV,"102,272",,,,
 Olympia Capital Holdings Ltd ,KE0000000166,OCH,40000000,,,,
Trans-Century Ltd  ,KE2000002184,TCL," 	281,426,593 ",,,,
,,,,,,,
INVESTMENT SERVICES,,,,,,,
 Nairobi Securities Exchange Ltd Ord 4.00 ,KE3000009674,NSE," 	259,500,000 ",,,,
,,,,,,,
MANUFACTURING & ALLIED,,,,,,,
 A.Baumann & Co Ltd  ,KE0000000018,BAUM," 	3,840,066 ",,,,
 B.O.C Kenya Ltd ,KE0000000042,BOC," 	19,525,446 ",,,,
 British American Tobacco Kenya Ltd  ,KE0000000075,BAT," 	100,000,000 ",,,,
 Carbacid Investments Ltd ,KE0000000117,CARB," 	254,851,988 ",,,,
 East African Breweries Ltd ,KE0000000216,EABL," 	790,774,356 ",,,,
 Eveready East Africa Ltd ,KE0000000588,EVRD," 	210,000,000 ",,,,
 Flame Tree Group Holdings Ltd,KE4000001323,FTGH," 	161,866,804 ",,,,
 Kenya Orchards Ltd  ,KE0000000331,ORCH," 	12,868,124 ",,,,
 Mumias Sugar Co. Ltd ,KE0000000372,MSC," 	1,530,000,000 ",,,,
 Unga Group Ltd ,KE0000000497,UNGA," 	75,708,873 ",,,,
,,,,,,,
TELECOMMUNICATION & TECHNOLOGY,,,,,,,
 Safaricom Ltd ,KE1000001402,SCOM," 	40,065,428,000 ",,,,
,,,,,,,
REAL ESTATE INVESTMENT TRUST,,,,,,,
STANLIB FAHARI I-REIT. Ord.20.00,KE5000003656,FAHR," 	180,972,300 ",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
